=== Log started at 2025-12-09 09:15:03 ===
[2025-12-09 09:15:03] === Process started ===
[2025-12-09 09:15:03] Fetching JSON data from: https://api.housamo.xyz/housamo/unity/json/?file=/housamo/adv2024/Android/Android&mode=raw
[2025-12-09 09:15:04]  Found 225 .chapter.asset files.
[2025-12-09 09:15:05]  SKIPPED (no change): 2ndanniversary.chapter.asset
[2025-12-09 09:15:06]  SKIPPED (no change): 3rdanniversary.chapter.asset
[2025-12-09 09:15:06]  SKIPPED (no change): 4thanniversary.chapter.asset
[2025-12-09 09:15:07]  SKIPPED (no change): 5thanniversary.chapter.asset
[2025-12-09 09:15:08]  SKIPPED (no change): 6thanniversary.chapter.asset
[2025-12-09 09:15:08]  SKIPPED (no change): 7thanniversary.chapter.asset
[2025-12-09 09:15:09]  SKIPPED (no change): 8thanniversary.chapter.asset
[2025-12-09 09:15:10]  SKIPPED (no change): 9thanniversary.chapter.asset
[2025-12-09 09:15:11]  SKIPPED (no change): aegir.chapter.asset
[2025-12-09 09:15:11]  SKIPPED (no change): agf2023.chapter.asset
[2025-12-09 09:15:12]  SKIPPED (no change): agf2024.chapter.asset
[2025-12-09 09:15:13]  SKIPPED (no change): agf2025.chapter.asset
[2025-12-09 09:15:14]  SKIPPED (no change): agyou.chapter.asset
[2025-12-09 09:15:14]  SKIPPED (no change): ahab.chapter.asset
[2025-12-09 09:15:15]  SKIPPED (no change): akibaanddragons2022.chapter.asset
[2025-12-09 09:15:16]  SKIPPED (no change): akihagongen.chapter.asset
[2025-12-09 09:15:17]  SKIPPED (no change): algernon.chapter.asset
[2025-12-09 09:15:17]  SKIPPED (no change): alice.chapter.asset
[2025-12-09 09:15:18]  SKIPPED (no change): amatumara.chapter.asset
[2025-12-09 09:15:19]  SKIPPED (no change): andvarafors2019.chapter.asset
[2025-12-09 09:15:20]  SKIPPED (no change): andvari.chapter.asset
[2025-12-09 09:15:20]  SKIPPED (no change): aracne.chapter.asset
[2025-12-09 09:15:21]  SKIPPED (no change): arc.chapter.asset
[2025-12-09 09:15:22]  SKIPPED (no change): arslan.chapter.asset
[2025-12-09 09:15:23]  SKIPPED (no change): ashigara.chapter.asset
[2025-12-09 09:15:23]  SKIPPED (no change): asterius.chapter.asset
[2025-12-09 09:15:24]  SKIPPED (no change): autumncampaign2022.chapter.asset
[2025-12-09 09:15:25]  SKIPPED (no change): babebunyan.chapter.asset
[2025-12-09 09:15:25]  SKIPPED (no change): bathym.chapter.asset
[2025-12-09 09:15:26]  SKIPPED (no change): benten.chapter.asset
[2025-12-09 09:15:26]  SKIPPED (no change): breke.chapter.asset
[2025-12-09 09:15:27]  SKIPPED (no change): caitsith.chapter.asset
[2025-12-09 09:15:28]  SKIPPED (no change): canaan2019.chapter.asset
[2025-12-09 09:15:29]  SKIPPED (no change): catfestival2020.chapter.asset
[2025-12-09 09:15:29]  SKIPPED (no change): catoblepas.chapter.asset
[2025-12-09 09:15:30]  SKIPPED (no change): chernobog.chapter.asset
[2025-12-09 09:15:31]  SKIPPED (no change): christine.chapter.asset
[2025-12-09 09:15:32]  SKIPPED (no change): claude.chapter.asset
[2025-12-09 09:15:32]  DOWNLOADED: common.chapter.asset
[2025-12-09 09:15:33]  SKIPPED (no change): cthugha.chapter.asset
[2025-12-09 09:15:34]  SKIPPED (no change): dagon.chapter.asset
[2025-12-09 09:15:34]  SKIPPED (no change): dancingsat2024.chapter.asset
[2025-12-09 09:15:35]  SKIPPED (no change): ded.chapter.asset
[2025-12-09 09:15:36]  SKIPPED (no change): dg01.chapter.asset
[2025-12-09 09:15:36]  SKIPPED (no change): dg02.chapter.asset
[2025-12-09 09:15:37]  SKIPPED (no change): dg03.chapter.asset
[2025-12-09 09:15:37]  SKIPPED (no change): dg04.chapter.asset
[2025-12-09 09:15:38]  SKIPPED (no change): durga.chapter.asset
[2025-12-09 09:15:38]  SKIPPED (no change): echo.chapter.asset
[2025-12-09 09:15:39]  SKIPPED (no change): eita.chapter.asset
[2025-12-09 09:15:40]  SKIPPED (no change): ellie.chapter.asset
[2025-12-09 09:15:41]  SKIPPED (no change): fashionista2019.chapter.asset
[2025-12-09 09:15:41]  SKIPPED (no change): fenrir.chapter.asset
[2025-12-09 09:15:42]  SKIPPED (no change): festival2018.chapter.asset
[2025-12-09 09:15:43]  SKIPPED (no change): fkare2.chapter.asset
[2025-12-09 09:15:44]  SKIPPED (no change): fkare2020.chapter.asset
[2025-12-09 09:15:44]  SKIPPED (no change): furufumi.chapter.asset
[2025-12-09 09:15:45]  SKIPPED (no change): gabriel.chapter.asset
[2025-12-09 09:15:46]  SKIPPED (no change): gandharva.chapter.asset
[2025-12-09 09:15:47]  SKIPPED (no change): garmr.chapter.asset
[2025-12-09 09:15:47]  SKIPPED (no change): gendarme2018.chapter.asset
[2025-12-09 09:15:48]  SKIPPED (no change): girimekra.chapter.asset
[2025-12-09 09:15:49]  SKIPPED (no change): gorozaemon.chapter.asset
[2025-12-09 09:15:50]  SKIPPED (no change): gouryou.chapter.asset
[2025-12-09 09:15:50]  SKIPPED (no change): gullinbursti.chapter.asset
[2025-12-09 09:15:51]  SKIPPED (no change): gunzou.chapter.asset
[2025-12-09 09:15:51]  SKIPPED (no change): gw2017.chapter.asset
[2025-12-09 09:15:52]  SKIPPED (no change): gw2022.chapter.asset
[2025-12-09 09:15:52]  SKIPPED (no change): gyoubu.chapter.asset
[2025-12-09 09:15:53]  SKIPPED (no change): gyuumaou.chapter.asset
[2025-12-09 09:15:54]  SKIPPED (no change): hakumen.chapter.asset
[2025-12-09 09:15:55]  SKIPPED (no change): halloween2017.chapter.asset
[2025-12-09 09:15:55]  SKIPPED (no change): halloweenpolice2021.chapter.asset
[2025-12-09 09:15:56]  SKIPPED (no change): hanuman.chapter.asset
[2025-12-09 09:15:57]  SKIPPED (no change): harlot.chapter.asset
[2025-12-09 09:15:58]  SKIPPED (no change): hekate.chapter.asset
[2025-12-09 09:15:58]  SKIPPED (no change): hephaestus.chapter.asset
[2025-12-09 09:15:59]  SKIPPED (no change): horkeukamui.chapter.asset
[2025-12-09 09:16:00]  SKIPPED (no change): hotparadise2021.chapter.asset
[2025-12-09 09:16:00]  SKIPPED (no change): hougen.chapter.asset
[2025-12-09 09:16:01]  SKIPPED (no change): ifrit.chapter.asset
[2025-12-09 09:16:02]  SKIPPED (no change): ikutoshi.chapter.asset
[2025-12-09 09:16:03]  SKIPPED (no change): island2017.chapter.asset
[2025-12-09 09:16:03]  SKIPPED (no change): jamboree2020.chapter.asset
[2025-12-09 09:16:04]  SKIPPED (no change): jiangshinight2019.chapter.asset
[2025-12-09 09:16:05]  SKIPPED (no change): jinn.chapter.asset
[2025-12-09 09:16:06]  SKIPPED (no change): jormungandr.chapter.asset
[2025-12-09 09:16:06]  SKIPPED (no change): joul.chapter.asset
[2025-12-09 09:16:07]  SKIPPED (no change): journey2018.chapter.asset
[2025-12-09 09:16:08]  SKIPPED (no change): jurassicsummer2023.chapter.asset
[2025-12-09 09:16:09]  SKIPPED (no change): kaiyou2017.chapter.asset
[2025-12-09 09:16:09]  SKIPPED (no change): kalki.chapter.asset
[2025-12-09 09:16:10]  SKIPPED (no change): kengo.chapter.asset
[2025-12-09 09:16:11]  SKIPPED (no change): kijimuna.chapter.asset
[2025-12-09 09:16:12]  SKIPPED (no change): kimunkamui.chapter.asset
[2025-12-09 09:16:12]  SKIPPED (no change): krampus.chapter.asset
[2025-12-09 09:16:13]  SKIPPED (no change): kresnik.chapter.asset
[2025-12-09 09:16:14]  SKIPPED (no change): kurogane.chapter.asset
[2025-12-09 09:16:14]  SKIPPED (no change): kyuuma.chapter.asset
[2025-12-09 09:16:15]  SKIPPED (no change): leib.chapter.asset
[2025-12-09 09:16:16]  SKIPPED (no change): lesson.chapter.asset
[2025-12-09 09:16:17]  SKIPPED (no change): licho.chapter.asset
[2025-12-09 09:16:17]  SKIPPED (no change): licht.chapter.asset
[2025-12-09 09:16:18]  SKIPPED (no change): lucifuge.chapter.asset
[2025-12-09 09:16:19]  SKIPPED (no change): magan.chapter.asset
[2025-12-09 09:16:19]  SKIPPED (no change): main1.chapter.asset
[2025-12-09 09:16:20]  SKIPPED (no change): main10.chapter.asset
[2025-12-09 09:16:21]  SKIPPED (no change): main11.chapter.asset
[2025-12-09 09:16:21]  SKIPPED (no change): main12.chapter.asset
[2025-12-09 09:16:22]  SKIPPED (no change): main13.chapter.asset
[2025-12-09 09:16:23]  SKIPPED (no change): main14.chapter.asset
[2025-12-09 09:16:23]  SKIPPED (no change): main15.chapter.asset
[2025-12-09 09:16:24]  SKIPPED (no change): main16.chapter.asset
[2025-12-09 09:16:24]  SKIPPED (no change): main2.chapter.asset
[2025-12-09 09:16:24]  SKIPPED (no change): main3.chapter.asset
[2025-12-09 09:16:25]  SKIPPED (no change): main4.chapter.asset
[2025-12-09 09:16:26]  SKIPPED (no change): main5.chapter.asset
[2025-12-09 09:16:27]  SKIPPED (no change): main6.chapter.asset
[2025-12-09 09:16:27]  SKIPPED (no change): main7.chapter.asset
[2025-12-09 09:16:28]  SKIPPED (no change): main8.chapter.asset
[2025-12-09 09:16:29]  SKIPPED (no change): main9.chapter.asset
[2025-12-09 09:16:29]  SKIPPED (no change): makara.chapter.asset
